date	author	title	ordering	register_num	receipts	representation	signatory	ouverture	cloture	free_access	firstrun	firstrun_perfnum	reprise	reprise_perfnum	newactor	actorrole	debut	ex_attendance	ex_representation	ex_place	image_volume	image_page
1773-04-19	Voltaire (François-Marie Arouet dit)	Brutus	1	1		1	Dauberval & Dalainval 	t	f	f	f	0	f		""	""		""	""	""	138	009
1773-04-19	Pont-de-Veyle (Antoine de Fériol, comte de)	Somnambule (Le)	2	1		1	Dauberval & Dalainval 	t	f	f	f	0	f		""	""		""	""	""	138	009
1773-04-20	Destouches (Philippe Néricault dit)	Philosophe marié ou le Mari honteux de l'être (Le)	1	2		2	Dauberval & Dalainval 	f	f	f	f	0	f		Lahaye	Lisimon		""	""	""	138	011
1773-04-20	Poisson (Philippe)	Impromptu de campagne (L')	2	2		2	Dauberval & Dalainval 	f	f	f	f	0	f		Lahaye	Le Comte		""	""	""	138	011
1773-04-21	Corneille (Pierre)	Héraclius, empereur d'Orient	1	3		3	Dauberval & Dalainval 	f	f	f	f		f		""	""		""	""	""	138	013
1773-04-21	Legrand (Marc-Antoine)	Usurier gentilhomme (L')	2	3		3	Dauberval & Dalainval 	f	f	f	f	0	f		Lahaye	Colin		""	""	""	138	013
1773-04-22	Regnard (Jean-François)	Démocrite amoureux	1	4		4	Dauberval & Dalainval	f	f	f	f	0	f		Lahaye	Thaler		""	""	""	138	015
1773-04-22	La Font (Joseph de)	Trois frères rivaux (Les)	2	4		4	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	015
1773-04-23	Boissy (Louis de)	Dehors trompeurs ou l'Homme du jour (Les)	1	5		5	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	017
1773-04-23	Du Fresny (Charles)	Esprit de contradiction (L')	2	5		5	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	017
1773-04-24	Diderot (Denis)	Père de famille (Le)	1	6		6	Dalainval	f	f	f	f	0	f		Lahaye	Commandeur		""	""	""	138	019
1773-04-24	Marivaux (Pierre de)	Legs (Le)	2	6		6	Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	019
1773-04-25	Le Franc de Pompignan (Jean-Jacques)	Didon	1	7		7	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	021
1773-04-25	Dancourt (Florent Carton dit)	Mari retrouvé (Le)	2	7		7	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	021
1773-04-26	Cailhava de L'Estandoux (Jean-François)	Tuteur dupé (Le) ou La Maison à deux portes	1	8		8	Dauberval & Dalainval	f	f	f	f		t	1	""	""		""	""	""	138	023
1773-04-26	Dancourt (Florent Carton dit)	Vendanges de Suresnes (Les)	2	8		8	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	023
1773-04-27	Regnard (Jean-François)	Ménechmes ou les Jumeaux (Les)	1	9		9	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	025
1773-04-27	Racine (Jean)	Plaideurs (Les)	2	9		9	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	025
1773-04-28	Cailhava de L'Estandoux (Jean-François)	Tuteur dupé (Le) ou La Maison à deux portes	1	10		10	Dauberval & Dalainval	f	f	f	f		t	2	""	""		""	""	""	138	027
1773-04-28	Hauteroche (Noël Lebreton, sieur de)	Crispin médecin	2	10		10	Dauberval & Dalainval	f	f	f	f		f		""	""		""	""	""	138	027
1773-04-29	Le Franc de Pompignan (Jean-Jacques)	Didon	1	11		11	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	029
1773-04-29	Hauteroche (Noël Lebreton, sieur de)	Cocher supposé (Le)	2	11		11	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	029
1773-04-30	Regnard (Jean-François)	Distrait (Le)	1	12		12	Dauberval & Dalainval	f	f	f	f	0	f		""	""		""	""	""	138	031
