author	title	genre	acts	prose_vers	prologue	musique_danse_machine	date_de_creation
""	""	""		""	f	f	
""	""	""					
""	Crispin brulé	""					
""	Gaston et Bayard	""					
""	La Comtesse d'Escarbagnas	""					
""	Le Cercle ou la Soirée à la mode	""		""	f	f	1764-09-17
""	Legre	""					
""	famlle	""					
""	nouvea#	""					
Abbé Claude-Henri de Fusée de Voisenon	Zélémide	""					
Abbé Claude-Henri de Fusée de Voisenon 	Zélémide 	""					
Abbé François Le Métel de Boisrobert	Les Rivaux amis	tragi comédie					
Abeille (Gaspard, abbé)	Aristobule	tragédie	5	vers	f	f	1685-11-30
Abeille (Gaspard, abbé)	Coriolan	tragédie	5	vers	f	f	
Aigueberre (Jean Dumas d')	Avare amoureux (L')	comédie	1	prose	f	f	
Aigueberre (Jean Dumas d')	Prince de Noisy (Le)	comédie héroïque	3	prose	t	t	1730-11-04
Aigueberre (Jean Dumas d')	Trois spectacles (Les) ou Polixène, tragédie, L'Avare amoureux, comédie et Pan et Doris, pastorale héroïque	tragédie-comédie-pastorale héroïque	3	prose / vers	t	t	1729-07-06
Allainval (Léonor-Jean-Christine Soulas d')	Fausse comtesse (La)	comédie	1	prose	f	t	1726-07-27
Allainval (Léonor-Jean-Christine Soulas d')	Mari curieux (Le)	comédie	1	prose	f	t	1731-07-17
Allainval (Léonor-Jean-Christine Soulas d')	École des bourgeois (L')	comédie	3	prose	t	f	1728-09-20
Alliot	Muet par amour (Le)	comédie	1	vers	f	t	1751-10-20
André Pépin Bellement 	La Reprise de Toulon ou Les Patriotes provinciaux	""					
André-Murville (Pierre-Nicolas)	Lanval et Viviane ou les Fées et les chevaliers	comédie héori-féérie	5	vers	f	f	1788-09-13
André-Murville (Pierre-Nicolas)	Melcour et Verseuil	comédie	1	vers	f	f	1785-08-08
André-Murville (Pierre-Nicolas)	Rendez-vous du mari ou le Mari à la mode (Le)	comédie	1	vers	f	f	1781-12-01
André-Murville (Pierre-Nicolas)	Souper magique ou les Deux siècles (Le)	comédie épisodique	1	vers	f	t	1790-02-11
Anonyme	Badaud (Le)	comédie	1	prose	f	f	1687-05-10
Anonyme	Bassette (La)	comédie	5	vers	f	f	
Anonyme	Bourget (Le)	comédie	1	prose	f	t	1697-05-23
Anonyme	Brutal de sang froid / sens froid  (Le)	comédie	1	prose	f	f	
Anonyme	Caliste	tragédie	5	vers	f	f	1750-04-27
Anonyme	Chasse ridicule (La)	comédie	1	prose	f	f	1691-07-25
Anonyme	Dédit (Le)	comédie	5	vers	f	f	1694-02-18
Anonyme	Effet de la prévention (L')	comédie	1	prose	f	t	1731-02-10
Anonyme	Enfant gâté (L')	comédie	1	prose	f	f	1697-08-23
Anonyme	Entêtement ridicule (L')	comédie	1	vers	f	f	1699-10-15
Anonyme	Entêté (L')	comédie	1	prose	f	f	1694-06-03
Anonyme	Fille médecin (La)	comédie	1	""	f	f	1697-03-09
Anonyme	Frontin gouverneur du château de Vertigililinguen	comédie	1	""	f	f	1703-10-11
Anonyme	Gentilhomme meunier (Le)	comédie	1		f	f	
Anonyme	Gros lot de Marseille (Le)	comédie	1	prose	f	f	1700-09-23
Anonyme	Gênois (Le)	comédie	1	""	f	f	1695-06-06
Anonyme	Heureux échange (L')	comédie	5	vers	f	f	1740-10-22
Anonyme	Homme de guerre (L')	comédie	5	vers	f	f	1686-12-06
Anonyme	Héroïne (L')	comédie	1	""	f	f	1685-09-10
Anonyme	Jaloux masqué (Le)	comédie	3	""	f	t	1695-04-16
Anonyme	Jeune homme (Le)	comédie	1	prose	f	f	1694-10-14
Anonyme	Le Laquais fille	0	0	""	f	t	1681-04-30
Anonyme	Marquis de l'industrie (Le)	comédie	5	vers	f	f	1698-01-25
