date	sold	raw_section	price	section
1680-04-30	25	Theatre	3	autre
1680-04-30	25	Premieres loges	3	première loge
1680-04-30	51	Secondes Loges	1.5	autre
1680-04-30	2	Troisiemes Loges	1	autre
1680-04-30	134	Parterre	0.75	parterre
1680-05-03	51	Theatre	3	autre
1680-05-03	1	Premieres loges	44	première loge
1680-05-03	79	Secondes Loges	1.5	autre
1680-05-03	4	Troisiemes Loges	1	autre
1680-05-03	207	Parterre	0.75	parterre
1680-05-05	20	Theatre	3	autre
1680-05-05	18	Premieres loges	3	première loge
1680-05-05	1	Amphitheatre/Loges	22	autre
1680-05-05	77	Secondes Loges	1.5	autre
1680-05-05	7	Troisiemes Loges	1	autre
1680-05-05	199	Parterre	0.75	parterre
1680-05-07	37	Theatre	3	autre
1680-05-07	1	Premieres loges	66	première loge
1680-05-07	83	Secondes Loges	1.5	autre
1680-05-07	7	Troisiemes Loges	1	autre
1680-05-07	157	Parterre	0.75	parterre
1680-05-07	1	Irregular Receipts	22	autre
1680-05-10	14	Theatre	3	autre
1680-05-10	16	Premieres loges	3	première loge
1680-05-10	63	Secondes Loges	1.5	autre
1680-05-10	9	Troisiemes Loges	1	autre
1680-05-10	124	Parterre	0.75	parterre
1680-05-12	20	Theatre	3	autre
1680-05-12	19	Premieres loges	3	première loge
1680-05-12	69	Secondes Loges	1.5	autre
1680-05-12	8	Troisiemes Loges	1	autre
1680-05-12	171	Parterre	0.75	parterre
1680-05-14	14	Theatre	3	autre
1680-05-14	13	Premieres loges	3	première loge
1680-05-14	31	Secondes Loges	1.5	autre
1680-05-14	2	Troisiemes Loges	1	autre
1680-05-14	134	Parterre	0.75	parterre
1680-05-15	25	Theatre	3	autre
1680-05-15	8	Premieres loges	3	première loge
1680-05-15	38	Secondes Loges	1.5	autre
1680-05-15	2	Troisiemes Loges	1	autre
1680-05-15	194	Parterre	0.75	parterre
1680-05-16	11	Theatre	3	autre
1680-05-16	8	Premieres loges	3	première loge
1680-05-16	75	Secondes Loges	1.5	autre
1680-05-16	10	Troisiemes Loges	1	autre
1680-05-16	260	Parterre	0.75	parterre
1680-05-17	40	Theatre	3	autre
1680-05-17	34	Premieres loges	3	première loge
1680-05-17	50	Secondes Loges	1.5	autre
1680-05-17	8	Troisiemes Loges	1	autre
1680-05-17	210	Parterre	0.75	parterre
1680-05-18	60	Theatre	3	autre
1680-05-18	38	Premieres loges	3	première loge
1680-05-18	83	Secondes Loges	1.5	autre
1680-05-18	13	Troisiemes Loges	1	autre
1680-05-18	327	Parterre	0.75	parterre
1680-05-19	30	Theatre	3	autre
1680-05-19	14	Premieres loges	3	première loge
1680-05-19	57	Secondes Loges	1.5	autre
1680-05-19	23	Troisiemes Loges	1	autre
1680-05-19	205	Parterre	0.75	parterre
1680-05-20	10	Theatre	3	autre
1680-05-20	8	Premieres loges	3	première loge
1680-05-20	48	Secondes Loges	1.5	autre
1680-05-20	11	Troisiemes Loges	1	autre
1680-05-20	188	Parterre	0.75	parterre
1680-05-21	20	Theatre	3	autre
1680-05-21	13	Premieres loges	3	première loge
1680-05-21	46	Secondes Loges	1.5	autre
1680-05-21	2	Troisiemes Loges	1	autre
1680-05-21	121	Parterre	0.75	parterre
1680-05-22	20	Theatre	3	autre
1680-05-22	17	Premieres loges	3	première loge
1680-05-22	1	Amphitheatre/Loges	3	autre
1680-05-22	66	Secondes Loges	1.5	autre
1680-05-22	6	Troisiemes Loges	1	autre
1680-05-22	192	Parterre	0.75	parterre
1680-05-23	48	Theatre	3	autre
1680-05-23	21	Premieres loges	3	première loge
1680-05-23	83	Secondes Loges	1.5	autre
1680-05-23	3	Troisiemes Loges	1	autre
1680-05-23	223	Parterre	0.75	parterre
1680-05-24	50	Theatre	3	autre
1680-05-24	22	Premieres loges	3	première loge
1680-05-24	1	Amphitheatre/Loges	44	autre
1680-05-24	82	Secondes Loges	1.5	autre
1680-05-24	13	Troisiemes Loges	1	autre
1680-05-24	310	Parterre	0.75	parterre
1680-05-25	40	Theatre	3	autre
1680-05-25	26	Premieres loges	3	première loge
1680-05-25	1	Amphitheatre/Loges	44	autre
1680-05-25	68	Secondes Loges	1.5	autre
1680-05-25	195	Parterre	0.75	parterre
1680-05-26	34	Theatre	3	autre
1680-05-26	33	Premieres loges	3	première loge
1680-05-26	88	Secondes Loges	1.5	autre
1680-05-26	21	Troisiemes Loges	1	autre
1680-05-26	357	Parterre	0.75	parterre
1680-05-27	30	Theatre	3	autre
1680-05-27	11	Premieres loges	3	première loge
1680-05-27	72	Secondes Loges	1.5	autre
1680-05-27	236	Parterre	0.75	parterre
1680-05-28	20	Theatre	3	autre
1680-05-28	18	Premieres loges	3	première loge
1680-05-28	64	Secondes Loges	1.5	autre
1680-05-28	1	Troisiemes Loges	1	autre
1680-05-28	161	Parterre	0.75	parterre
1680-05-29	18	Theatre	3	autre
1680-05-29	6	Premieres loges	3	première loge
1680-05-29	46	Secondes Loges	1.5	autre
1680-05-29	6	Troisiemes Loges	1	autre
1680-05-29	196	Parterre	0.75	parterre
1680-05-31	69	Theatre	5.5	autre
1680-05-31	40	Premieres loges	5.5	première loge
1680-05-31	2	Amphitheatre/Loges	44	autre
1680-05-31	99	Secondes Loges	3	autre
1680-05-31	24	Troisiemes Loges	1.5	autre
1680-05-31	273	Parterre	1.5	parterre
1680-06-01	15	Theatre	3	autre
1680-06-01	8	Premieres loges	3	première loge
1680-06-01	28	Secondes Loges	1.5	autre
1680-06-01	3	Troisiemes Loges	1	autre
1680-06-01	133	Parterre	0.75	parterre
1680-06-02	27	Theatre	5.5	autre
1680-06-02	18	Premieres loges	5.5	première loge
1680-06-02	59	Secondes Loges	3	autre
1680-06-02	10	Troisiemes Loges	1.5	autre
1680-06-02	102	Parterre	1.5	parterre
1680-06-03	39	Theatre	3	autre
1680-06-03	10	Premieres loges	3	première loge
1680-06-03	38	Secondes Loges	1.5	autre
1680-06-03	8	Troisiemes Loges	1	autre
1680-06-03	200	Parterre	0.75	parterre
1680-06-04	16	Theatre	5.5	autre
1680-06-04	8	Premieres loges	5.5	première loge
1680-06-04	27	Secondes Loges	3	autre
1680-06-04	6	Troisiemes Loges	1.5	autre
1680-06-04	70	Parterre	1.5	parterre
1680-06-05	30	Theatre	3	autre
1680-06-05	14	Premieres loges	3	première loge
1680-06-05	63	Secondes Loges	1.5	autre
1680-06-05	152	Parterre	0.75	parterre
1680-06-06	8	Theatre	3	autre
1680-06-06	15	Premieres loges	3	première loge
1680-06-06	46	Secondes Loges	1.5	autre
