date	author	section	price	sold
1740-04-02	Boissy (Louis de)	parterre	1	537
1740-04-02	Saint-Foix (Germain-François Poullain de)	parterre	1	537
1740-04-25	Racine (Jean), Moreau (Jean-Baptiste)	parterre	1	298
1740-04-25	Dancourt (Florent Carton dit)	parterre	1	298
1740-04-26	Dancourt (Florent Carton dit)	parterre	1	103
1740-04-26	Molière (Jean-Baptiste Poquelin dit)	parterre	1	103
1740-04-27	Racine (Jean), Moreau (Jean-Baptiste)	parterre	1	223
1740-04-27	Legrand (Marc-Antoine)	parterre	1	223
1740-04-28	Montfleury (Antoine Jacob dit)	parterre	1	132
1740-04-28	Du Fresny (Charles)	parterre	1	132
1740-04-30	Racine (Jean), Moreau (Jean-Baptiste)	parterre	1	312
1740-04-30	Du Fresny (Charles)	parterre	1	312
1740-05-01	Molière (Jean-Baptiste Poquelin dit)	parterre	1	305
1740-05-01	Brueys (David-Augustin de)	parterre	1	305
1740-05-02	Racine (Jean)	parterre	1	473
1740-05-02	Saint-Foix (Germain-François Poullain de)	parterre	1	473
1740-05-03	Molière (Jean-Baptiste Poquelin dit)	parterre	1	103
1740-05-03	Molière (Jean-Baptiste Poquelin dit)	parterre	1	103
1740-05-04	Racine (Jean)	parterre	1	352
1740-05-04	Saint-Foix (Germain-François Poullain de)	parterre	1	352
1740-05-05	Corneille (Pierre)	parterre	1	106
1740-05-05	Regnard (Jean-François)	parterre	1	106
1740-05-07	Crébillon (Prosper Jolyot de)	parterre	1	486
1740-05-07	Saint-Foix (Germain-François Poullain de)	parterre	1	486
1740-05-08	Destouches	parterre	1	603
1740-05-08	Saint-Foix (Germain-François Poullain de)	parterre	1	603
1740-05-09	Lesage (Alain-René)	parterre	1	309
1740-05-09	Saint-Foix (Germain-François Poullain de)	parterre	1	309
1740-05-10	Regnard (Jean-François)	parterre	1	116
1740-05-10	Molière (Jean-Baptiste Poquelin dit)	parterre	1	116
1740-05-11	Campistron (Jean Galbert de)	parterre	1	320
1740-05-11	Saint-Foix (Germain-François Poullain de)	parterre	1	320
1740-05-12	Molière (Jean-Baptiste Poquelin dit)	parterre	1	106
1740-05-12	Du Fresny (Charles)	parterre	1	106
1740-05-14	Corneille (Pierre)	parterre	1	426
1740-05-14	Saint-Foix (Germain-François Poullain de)	parterre	1	426
1740-05-15	Destouches (Philippe Néricault dit)	parterre	1	411
1740-05-15	Dancourt (Florent Carton dit)	parterre	1	411
1740-05-16	Destouches	parterre	1	456
1740-05-16	Saint-Foix (Germain-François Poullain de)	parterre	1	456
1740-05-17	Molière (Jean-Baptiste Poquelin dit)	parterre	1	121
1740-05-17	Du Fresny (Charles)	parterre	1	121
1740-05-18	Destouches (Philippe Néricault dit)	parterre	1	205
1740-05-18	Brueys (David-Augustin de)	parterre	1	205
1740-05-19	Corneille (Pierre)	parterre	1	84
1740-05-19	Racine (Jean)	parterre	1	84
1740-05-21	Racine (Jean)	parterre	1	365
1740-05-21	Regnard (Jean-François)	parterre	1	365
1740-05-22	Regnard (Jean-François)	parterre	1	122
1740-05-22	Brueys (David-Augustin de)	parterre	1	122
1740-05-23	Montfleury (Antoine Jacob dit)	parterre	1	135
1740-05-23	Molière (Jean-Baptiste Poquelin dit)	parterre	1	135
1740-05-24	Molière (Jean-Baptiste Poquelin dit)	parterre	1	62
1740-05-24	Molière (Jean-Baptiste Poquelin dit)	parterre	1	62
1740-05-25	Corneille (Pierre)	parterre	1	100
1740-05-25	La Fontaine (Jean de)	parterre	1	100
1740-05-27	Regnard (Jean-François)	parterre	1	80
1740-05-27	Dancourt (Florent Carton dit)	parterre	1	80
1740-05-28	Destouches (Philippe Néricault dit)	parterre	1	143
1740-05-28	La Fontaine (Jean de)	parterre	1	143
1740-05-29	Molière (Jean-Baptiste Poquelin dit)	parterre	1	174
1740-05-29	La Fontaine (Jean de)	parterre	1	174
1740-05-30	Corneille (Pierre)	parterre	1	156
1740-05-30	Regnard (Jean-François)	parterre	1	156
