year	corneille	molière	racine	voltaire	total
1740	2912	10302	3865	3662	83951
1741	3953	16342	7329	9593	123029
1742	8879	19754	5638	6932	139215
1743	2473	26040	10310	18048	134487
1744	5290	14363	5654	11743	144438
1745	3250	19063	5834	9786	131721
1746	3274	17099	4411	5842	135056
1747	5002	19680	2940	7816	144889
1748	3823	16777	2117	11272	139814
1749	2959	15303	5498	14930	158590
1750	4472	19473	2643	12770	178567
1751	3899	20331	6974	19122	173316
1752	3765	19287	5967	15651	160883
1753	10606	23882	10390	12365	186411
1754	9472	13924	5610	13943	192460
1755	8192	16626	9802	21635	201960
1756	5753	26897	9670	23724	204501
1757	5006	20205	6845	17656	184555
1758	8722	15785	4693	21422	209568
1759	8231	15540	7208	13053	208474
1760	3364	21918	6202	29806	192416
1761	6084	17715	7114	28291	174325
1762	7514	18631	4056	22053	187985
1763	4975	18164	6488	20507	203413
1764	6833	21596	4619	20577	206650
1765	3965	15114	10225	20328	186282
1766	6478	16236	6295	26669	192295
1767	3398	21384	6754	19229	204386
1768	1894	23682	5961	19332	189757
1769	2325	24340	3276	23365	219545
1770	8332	27114	6815	21368	230022
1771	8152	15913	7660	18449	215842
1772	8791	12733	6158	12906	203976
1773	7235	17423	8346	15716	205714
1774	3263	21387	7264	18287	199852
1775	4401	15769	4724	21170	219424
1776	8153	17808	9143	20132	227784
1777	5339	23478	3684	18377	240794
1778	5598	26682	8150	23926	233472
1779	4224	23203	4102	26629	219905
1780	7534	19818	5269	13596	226834
1781	6290	20000	5677	20476	216551
1782	13032	36014	10273	40119	406431
1783	1366	12082	5633	15670	171291
1784	2360	4254	1424	3934	51163
1785	9523	28016	18742	29204	347426
1786	11230	45005	18842	48112	462778
1787	8398	42410	15682	40198	467484
1788	14731	36480	22500	44870	442754
1789	9965	23095	15115	19289	340954
1790	4070	17902	6970	33355	329902
1791	5566	17705	6569	23639	291685
1792	5218	19897	10555	16037	278391
1793	1688	4230	2765	6001	66611
